 ,apartment_dirty,asker_is_landlord,asker_is_tenant,bothers_others,disrespect_previous_judgement,landlord_inspector_fees,landlord_notifies_tenant_retake_apartment,landlord_pays_indemnity,landlord_relocation_indemnity_fees,landlord_rent_change,landlord_rent_change_doc_renseignements,landlord_retakes_apartment,landlord_sends_demand_regie_logement,tenant_sends_demand_regie_logement,signed_proof_of_rent_debt,rent_increased,tenant_continuous_late_payment,tenant_damaged_rental,tenant_dead,tenant_financial_problem,tenant_group_responsability,tenant_individual_responsability,tenant_is_bothered,tenant_lease_indeterminate,tenant_left_without_paying,tenant_monthly_payment,tenant_owes_rent,tenant_refuses_retake_apartment,tenant_rent_not_paid_more_3_weeks,tenant_withold_rent_without_permission,violent,tenant_not_paid_lease_timespan
"('additional_indemnity_money', 'int')",-0.00014232283086812458,1.9997191898596611,0.00017772427646178812,3.774758283725532e-15,-6.423992029169767e-05,-1.9987635274051385,-0.0003126653022381648,0.0,-1.998580994309485,-0.0009004641087709477,0.0,-1.999710794571726,-0.0006393888894291599,0.0,2.220446049250313e-15,-1.332840432328787,-8.214457625399518e-05,-0.00028913569166633124,1.9987992905598704,0.0,9.365631271407437e-05,6.949866815375572e-07,0.0,-1.4856692587272846e-05,1.9984999528464868,0.0007240474983518652,1.9989685184596055,-0.6661280861322134,1.9995617552226577,-8.198148748483902e-05,-0.6667123461965758,-0.0005791012711631183
"('declares_housing_inhabitable', 'bool')",0.0014330284316379505,0.0005133218855668531,0.00019333786470054903,0.0,0.0,0.0,-0.00044382362644836793,-0.0006892327878700403,0.0002948273719369787,-0.00046504325318771976,0.0,8.170693663878126e-05,0.0,0.0,0.0,-0.00037653430857557523,0.0,-0.00021312043529819746,0.0,0.0,0.0,0.0,0.0,0.0003572556817257322,-0.00036886818102943586,-0.0002118755106277348,-0.0006785847661679293,0.0,0.0,0.0,-0.0004469734668053338,0.0
"('declares_resiliation_is_correct', 'bool')",-0.000680411501235767,-2.5816211405071954e-05,-1.9521442169434522e-05,-6.5423545096976454e-06,-0.00029743861649667025,-1.999552752192855,-0.0012137374644431986,-1.0,-1.999055140968892,-0.0006354266939444186,-1.4606371667724716e-15,-1.9988341908251286,-1.4988420409765748,-0.49884204097657475,-0.0008775180270106375,-0.0008858160941365156,-8.640996853159777e-06,-0.0007056594059804411,-0.00028723083168102903,-2.075306164606161e-05,6.901675676118657e-05,-4.443561115863304e-05,-1.998518770931911,7.327490489217325e-05,1.999545810007703,1.9989287940113627,-6.836542479504715e-05,-0.00014707003722591594,-0.00019764494052765258,-0.00039603328977655394,-0.0006458781676279557,-1.9995894802730607
"('landlord_serious_prejudice', 'bool')",7.940065907519056e-05,7.263447155381186e-05,-1.9991687274659036,0.0004457033266049848,-1.9990274725359605,-0.0005624516070302877,-0.00017981121671795108,0.0,-0.0008412872046926017,-0.9997231823550352,-0.9993151100734657,0.00025760475763458857,-0.00029147805687745887,1.0,0.0,-0.9997511571819491,1.999532595611118,4.4300484484338654e-05,-0.00035434197350158565,-7.339446933607441e-05,-4.28372649636799e-05,-0.00022990875994555182,-0.0011482575182607357,-0.0002739336262376213,-1.9996391298237235,1.9997001273071824,0.0004373490487985521,-0.9993430849003806,-6.156929692835433e-05,-1.9994875627622357,-0.00017403919412828373,-0.00013542658444354316
"('orders_expulsion', 'bool')",0.00129384785044806,-0.00024897707945115144,0.00013319626417640507,2.0005325402517893,1.9999937727235277,0.0,7.180617406987722e-05,-0.0005346408404633962,-0.0027629857596020075,-1.998219034763014,0.0,0.00015128169066080943,0.00016938115716058633,0.0,0.0004886989290020516,-0.00023487364865815152,2.07924625499345e-05,-0.000508097378603356,0.0016187835626224611,0.00023938497599851338,0.00011875130649485754,1.4754736319844142e-05,-0.0020844318865799356,1.3097328633193683e-05,-1.9979547027058118,0.0004657308064395238,0.001644851180429896,0.0010573037354362214,1.9996277787704173,0.0016022351387848799,0.0010838759356275318,-0.0016630522650178392
"('orders_immediate_execution', 'bool')",0.9986382610611173,1.999456962854083,1.000177879339347,1.9981302431166519,0.9983567798733546,0.0,-8.865859985185409e-05,-1.0,-1.0,-0.0013405866259933463,0.0,-5.30928651762963e-05,0.998434723271509,0.0,0.0001615362099829376,-1.9998338416987664,-3.83309530036513e-05,-1.0008791850983911,1.0,5.847766943833932e-05,0.0003840833729498172,1.4408647558639132e-05,0.0,0.00024011858300809763,-0.0010980958701480859,0.0005269050368497119,1.9990794156408356,0.9982466427784935,1.9996436620192526,-2.1946294749497497e-05,0.9998608301257477,0.0
"('orders_resiliation', 'bool')",0.000131057175224214,-0.00011253286611179192,-1.4292939581217468e-05,1.9995723722471448,1.9996980346585087,-0.00034639116822954286,-0.00015184003831358872,-0.0004760347585204272,-0.0003436616385252833,-1.9991149171297145,0.0,-0.00011580953002376937,-0.00030711318265153054,0.0,0.0,-0.0001898790577565812,0.0001614346296179292,4.295935882359103e-05,-0.0005773300997198305,4.914012672863066e-05,9.130653497635421e-05,-0.00015811872965088014,-0.0006014844301548399,-1.7826835759821025e-05,-0.0003779430027890385,4.868321387618835e-05,0.00014006278115274995,-0.0003740658853867984,1.9998015839648637,4.3472390601539956e-05,-2.250449673635302e-05,-0.0003274578324501398
"('orders_tenant_pay_first_of_month', 'bool')",-0.0004203813708700821,2.1982595853842213e-05,-0.00019844566584481527,0.0,-0.0005256098998371872,-0.0005902243183026558,-3.9989844229149085e-05,0.0,-0.0005877400623404343,-0.0005806056171253997,0.0,-2.7316705896396343e-05,0.0,0.0,0.0,-0.00010869840358118665,0.00017044179116965097,-0.0005505529786829499,0.0,-0.0002878615584593902,9.081485987039173e-05,-0.00026054485255144755,0.0,-0.00026523133395883747,-0.00022172582693957832,0.00011180105514085881,0.00015792274916748283,-0.00047395587886978063,-9.296142746961777e-05,-5.146485805251899e-05,-0.0004201714927820942,-0.000379636428426533
"('tenant_ordered_to_pay_landlord', 'int')",-0.00022032899216029023,0.0003459405809138616,-0.0002549107145295437,-0.0006803255345424475,-6.32267879696613e-05,0.0001648298966068218,-9.249623754925551e-05,-0.00024288175579112448,1.9996846567753952,-0.00018648859031600296,-5.3503694456799675e-05,-2.2002339498783385e-05,-0.0003982664842006045,0.0009630342498940472,-8.881784197001252e-16,-0.00016726880276074496,-7.383705224128789e-05,-8.050394323255716e-05,-0.00030756972813739125,-7.458739963084327e-05,-7.739062005285291e-05,-7.76552134569286e-05,-1.9992012570481499,-0.00012074543636231283,1.9996407783187635,-0.00010112910793225183,1.9995756845507202,-2.6645352591003757e-15,0.0002300806709030212,-3.7539200867797717e-06,-0.00021845096426353905,0.00047702483116061727
"('tenant_ordered_to_pay_landlord_legal_fees', 'int')",-0.00016202556993327732,1.9996850270098872,7.91434327478413e-05,0.000647245836729482,0.000644384711375956,0.0005624162453230497,-1.9987810721573283,-1.9987739861071088,0.0003821573710305337,-1.99941342016254,0.0,-0.0005846633399002599,-0.0002532337827465536,0.0009720700390814501,0.0,-0.0004046618752635567,0.00011284274064848887,0.00011618685994108091,0.0007130761450020451,0.0002761498894581216,0.00020419357816603423,0.0004107174141587677,2.000268041941413,8.105025928628606e-06,0.0003588231651630025,-0.00012953718254671287,0.0003251814105738049,-1.99843280764415,0.0003289686309244644,0.00032431340160177236,-0.00026640288090806763,7.758956868642031e-05
"('landlord_prejudice_justified', 'bool')",0.00021777100840481012,1.9994865043394192,0.0003735514456018052,3.0,-8.881784197001252e-16,-0.00024284603181712328,-0.0005451582806070832,-0.0006043336113581432,-0.00018502984154800117,-0.0005255191944915083,-1.0,-6.919398583582481e-05,-0.00017606703706165596,0.0002624017404430965,0.00019951648499283436,0.00021880364836235344,1.9997830480677679,0.00028439964470905466,-0.0002974743380859124,1.1834544055844276e-07,-1.9879035275227608e-05,3.2448138628793366e-05,1.9987227487708015,0.00022111731695417802,-0.00022378982269799508,0.00042252178016966013,4.190010159277335e-05,-0.0001508386257746963,1.9996502920691057,-0.00016037879255281773,1.9992595337525216,-0.00042546593980752334
"('landlord_retakes_apartment_indemnity', 'bool')",-9.368060172088022e-05,0.00012374929104908006,0.0001234370401164142,0.0,-0.00038737595887492523,-5.82433407059213e-16,6.224846624292013e-05,0.0,0.0,-0.00021491712518462158,0.0,7.859540724552971e-05,-6.0253520423714235e-05,0.0,0.0,-0.0002215167688790487,0.00023609244790845363,-0.0002794617965569124,0.0,0.00018720332774457837,-0.00017873342749024496,-0.00041762761927830133,0.0,-6.811672779782896e-05,-0.0007087667921435625,2.4558346183312096e-06,-0.0006884114113647507,-0.00028232052849830325,-0.0002657987350016544,0.0,-0.0002779046526599771,-0.0005817867497294419
"('authorize_landlord_retake_apartment', 'bool')",-1.0,0.6669862433080087,0.6662666383867322,0.0,0.0,0.0,0.6663360017182345,1.0,-0.5970573341387639,-1.0142158581568812,0.0,1.333903060034493,-0.0002647501646428907,0.0,0.0,-0.3198501987743789,-0.9450477265659614,-0.6664827177789889,0.0,-0.3462092290114156,0.0,-0.00033018673196820767,-0.0003030519494910067,-7.602298439479682e-05,-1.014377385040121,0.6670293148960471,-0.0692554832204042,1.3337103775719388,-0.5970394542709212,0.0,-1.0,-0.06988903175524223
