 ,absent,apartment_impropre,apartment_infestation,asker_is_landlord,asker_is_tenant,bothers_others,case_fee_reimbursement,disrespect_previous_judgement,incorrect_facts,landlord_inspector_fees,landlord_notifies_tenant_retake_apartment,landlord_pays_indemnity,landlord_prejudice_justified,landlord_relocation_indemnity_fees,landlord_rent_change,landlord_rent_change_doc_renseignements,landlord_rent_change_piece_justification,landlord_rent_change_receipts,landlord_retakes_apartment,landlord_retakes_apartment_indemnity,landlord_sends_demand_regie_logement,landlord_serious_prejudice,lease,proof_of_late,proof_of_revenu,rent_increased,tenant_bad_payment_habits,tenant_continuous_late_payment,tenant_damaged_rental,tenant_dead,tenant_declare_insalubre,tenant_financial_problem,tenant_group_responsability,tenant_individual_responsability,tenant_is_bothered,lack_of_proof,tenant_landlord_agreement,tenant_lease_fixed,tenant_lease_indeterminate,tenant_left_without_paying,tenant_monthly_payment,tenant_negligence,tenant_not_request_cancel_lease,tenant_owes_rent,tenant_refuses_retake_apartment,tenant_rent_not_paid_less_3_weeks,tenant_rent_not_paid_more_3_weeks,tenant_rent_paid_before_hearing,tenant_violence,tenant_withold_rent_without_permission,violent
additional_indemnity_date,-335.972200944,-251.055597158,-1.42108547152e-14,6996.0,-963.055597158,-2.0,-12.1788545455,-24.0,-16.0,-38.7734827986,-236.0,-14.0,8230.0,-47.3076612575,-1562.0,-200.0,-198.0,-198.0,-681.055597158,-66.0,-334.972201898,-110.0,458.528228,12.0,-4.0,-1.42108547152e-14,2144.0,924.0,2.0,10.0,-76.0,142.0,628.0,1830.0,-12.0,-1556.94440284,-876.0,-1.42108547152e-14,302.0,1568.0,103.334462649,-4.0,-2.0,313.828523268,-70.0,256.0,6794.0,-1194.0,-94.0,44.0,-152.0
additional_indemnity_money,-5.45679769814e-07,-0.000320862790522,-7.28306304154e-14,1.0001253499,0.000477042269942,-2.0,-0.000437969952356,-0.000352327694989,0.999890724108,-0.000116992130106,7.6989880478e-05,0.000377012356081,217.373379907,-0.00885580777813,0.00025366653936,-0.000372786127103,-3.34412916789e-05,-3.34412916789e-05,-0.000159997120887,6.33714016782e-05,7.37999501421e-05,-94.0,0.00727259153483,-0.999804764161,-7.28306304154e-14,-7.28306304154e-14,-4.77176880445e-05,-42.6693809641,-4.4408920985e-14,0.000853759101821,-0.000112054395949,26.0,-7.56411029492e-05,0.00044593661306,0.000574698746972,0.000471381498956,0.000336669892329,-7.28306304154e-14,0.000258153663648,-0.000398551146052,-0.0138224268923,-5.15143483426e-14,-7.28306304154e-14,93.4127366023,0.000488140202473,-175.757039007,38.2180769561,-1.00041786423,-0.000314432780815,24.0,-0.000545766908465
declares_housing_inhabitable,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
declares_resiliation_is_correct,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
orders_expulsion,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
orders_immediate_execution,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
orders_resiliation,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
orders_tenant_pay_first_of_month,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
rejects_landlord_demand,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
rejects_tenant_demand,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
