 ,apartment_dirty,asker_is_landlord,asker_is_tenant,bothers_others,disrespect_previous_judgement,landlord_inspector_fees,landlord_notifies_tenant_retake_apartment,landlord_pays_indemnity,landlord_relocation_indemnity_fees,landlord_rent_change,landlord_rent_change_doc_renseignements,landlord_retakes_apartment,landlord_sends_demand_regie_logement,tenant_sends_demand_regie_logement,signed_proof_of_rent_debt,rent_increased,tenant_continuous_late_payment,tenant_damaged_rental,tenant_dead,tenant_financial_problem,tenant_group_responsability,tenant_individual_responsability,tenant_is_bothered,tenant_lease_indeterminate,tenant_left_without_paying,tenant_monthly_payment,tenant_owes_rent,tenant_refuses_retake_apartment,tenant_rent_not_paid_more_3_weeks,tenant_withold_rent_without_permission,violent,tenant_not_paid_lease_timespan
"('additional_indemnity_money', 'bool')",0.0,2.000000000000007,6.661338147750939e-16,0.0,0.0,-1.0,0.0,0.0,-9.827609336658931e-05,0.0,0.0,-1.9999999999999991,0.0,0.0,0.0,0.0,-5.870798122487031e-05,0.0,0.0,0.0,-7.527704013110537e-05,-3.276845201583001e-05,0.0,0.00023711898260914133,1.0001901117756091,0.9995811869177444,1.000223910203534,0.0,1.9996308064960893,-2.0,-0.0003846679885477507,-0.9999365009156902
"('declares_resiliation_is_correct', 'bool')",-0.333191085683362,3.973598196438388e-05,-0.0011602924034699313,0.0,0.0,-1.9999227370362167,0.0,0.0,-2.0,-0.0009293316772543037,0.0,-1.333191085683362,0.0,0.0,0.0,0.00037472322610440645,3.854780521495016e-05,-0.00022121740065350615,0.0,0.0,-0.333191085683362,-1.4953106426851548e-05,0.0,0.00032353514006550066,1.9996267579617424,1.998460575505348,-0.00016201282840277997,-0.0009736547242397151,-0.00045828639669220905,0.0,-1.0,-1.0
"('landlord_serious_prejudice', 'bool')",0.0,0.5002198984249612,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,-6.661338147750939e-16,2.0000108506944447,0.0,0.0,0.0,-0.00027068603230384625,-0.00027068603230429034,0.0,-1.0850694445174724e-05,-0.0003859691362331077,1.500219898424961,0.0006312177264936603,-1.0,1.9994660127649628,0.0,-0.00024524859026153756,0.0
"('orders_expulsion', 'bool')",0.29981137297114446,-0.000499091126426876,0.00040114257784140683,0.0,0.0,0.0,-0.20030175222587462,0.0,0.0,0.0,0.0,0.00032573674047708945,0.0,0.0,0.0,-1.6997245390515237,-2.4371562633795918e-05,0.0,0.0,0.00019150490862410163,0.00011608130917528658,0.0001160813091743984,0.0,0.6000868339196206,-0.0001934954329258174,0.0007885268215428454,0.9004903792547365,1.0999737087226016,1.9999901189617963,0.0,0.0,-1.0
"('orders_immediate_execution', 'bool')",0.0,1.999741807770035,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.000118674921033457,0.0,0.0,0.0,-1.500319724302329,1.3773490125768006e-05,0.0,0.0,0.0,4.4315732463773294e-05,4.4315732463329205e-05,0.0,0.0001102384087885433,0.0,0.0007512358243522144,1.9989672310801998,1.499680275697671,1.999897595044927,0.0,0.0,0.0
"('orders_resiliation', 'bool')",2.220446049250313e-16,0.00014010636743655436,-0.0001770929038347191,0.0,0.0,0.0,-0.00026685040005288156,0.0,0.0,0.0,0.0,-0.00026685040005288156,0.0,0.0,0.0,-1.0,-0.00013139086167257563,-0.0004965901086857755,0.0,0.0,-0.00011726415732127293,-0.00011726415732038475,0.0,-0.00013821956748627517,-0.000456933262704499,0.00027984035887207437,0.0001000299529775317,-0.00026685040005288156,2.000038189614508,0.0,0.0,-1.0
"('orders_tenant_pay_first_of_month', 'bool')",0.0,0.3816432936491303,-0.38103796488486075,0.0,0.0,0.0,0.0,0.0,0.0,-0.38066688231802964,0.0,-0.0004678942537323927,0.0,0.0,0.0,0.3803739582220317,0.3807447023796726,0.0,0.0,0.3805713916584621,0.0,0.0,0.0,-0.19017742671636645,-0.38083148771154374,0.38143324351184305,-0.38113004469485645,-0.19017742671636645,1.9104789299007052e-05,0.0,-0.381389604253201,0.0
"('tenant_ordered_to_pay_landlord', 'int')",-0.0007029380912739747,0.00042586201248318023,-0.00032181637970829513,0.0,0.0,1.9994337266241913,0.0,0.0,-0.00021387261836780525,-0.00043980014574640514,0.0,0.0001743189748526497,0.0,0.0,0.0,-0.00011798376603622263,0.00019224803684614322,-0.00033586599302104503,0.0,0.0,-0.00020459074578815795,-0.00020459074578860204,0.0,-2.436134749050911e-05,1.9996981976159192,0.00012034376353609044,0.00031244801185947857,-0.0013746344899867532,1.999463322894348,-2.0,-0.0006291675255274409,-0.0005414003540342716
"('tenant_ordered_to_pay_landlord_legal_fees', 'int')",-1.5007869266892575,2.000230485960237,0.0015126888340637468,0.0,0.0,0.0007242141183263356,0.0,0.0,0.0010482116562272605,-1.9987921394562274,-0.00044473811183941086,-0.0018365552031598398,0.0,0.0,0.0,-0.5007869266892575,0.0016202514662770895,0.0012014790806844644,0.0,0.0,0.0007547511818064567,6.752029351562994e-05,0.0,-0.0001720020106836806,0.001120233176175267,-6.116454445936892e-05,0.0007735157306366647,-1.0,0.0005548783069243557,0.0,-0.0006613851193340015,-0.0017571540351816184
"('landlord_prejudice_justified', 'bool')",1.0377059172778815,1.9997290861712704,0.911303032985286,0.0,0.0,0.0,0.0,0.0,-0.9811340861108034,-1.0,0.0,0.9107334021551212,0.0,0.0,0.0,-0.8554736478935938,1.0888758907355203,1.0,0.0,0.0,6.308777566510493e-05,0.0001873821809861287,0.0,1.0188400033886849,0.05653215979977233,0.8542034635878499,0.23491650815743714,0.0,1.8215170751594316,0.0,1.1450062626024209,-0.2355162636439634
